pair_id,inner_fold
00001,2
00004,2
00005,0
00006,2
00007,2
00010,1
00011,2
00012,2
00013,0
00014,0
00015,0
00016,0
00017,1
00018,2
00019,1
00020,1
00021,2
00023,2
00025,1
00026,1
00027,1
00028,0
00029,1
00030,0
00032,2
00033,2
00034,2
00035,0
00037,0
00039,2
00040,1
00046,0
00047,0
00048,2
00049,0
00050,1
00051,0
00052,1
00053,2
00054,1
00055,1
00056,1
00057,2
00058,0
00059,1
00060,1
00061,2
00062,2
00063,2
00064,2
00065,2
00066,1
00067,2
00068,0
00069,2
00070,1
00071,0
00072,2
00073,0
00074,0
00076,1
00078,0
00079,0
00083,1
00084,2
00085,2
00086,1
00087,2
00088,1
00090,0
00091,2
00092,2
00094,2
00095,2
00096,0
00097,1
00099,0
00100,1
00101,0
00102,2
00103,2
00105,0
00106,1
00107,0
00108,1
00109,1
00110,2
00113,0
00114,1
00115,1
00116,1
00117,2
00118,2
00119,2
00120,0
00121,0
00122,2
00123,1
00125,0
00126,2
00127,1
00128,1
00130,1
00131,0
00133,0
00134,1
00137,0
00138,2
00139,2
00140,0
00141,2
00142,1
00143,0
00144,0
00145,0
00146,2
00147,2
00148,1
00149,1
00151,2
00152,0
00154,0
00155,2
00156,2
00157,1
00158,0
00159,0
00160,2
00161,2
00163,0
00164,2
00165,1
00166,2
00168,2
00170,0
00171,2
00172,2
00173,0
00174,1
00175,0
00176,0
00177,2
00178,1
00179,0
00181,2
00182,0
00183,0
00184,2
00185,2
00187,1
00188,1
00189,1
00190,2
00191,0
00192,1
00193,0
00194,1
00196,0
00197,2
00198,1
00200,2
00201,0
00202,0
00203,0
00205,1
00206,2
00207,2
00208,1
00209,1
00210,1
00211,1
00212,2
00213,0
00214,2
00216,1
00217,0
00218,0
00219,2
00220,0
00221,1
00222,1
00223,0
00224,0
00225,2
00226,1
00227,0
00228,2
00230,2
00231,0
00232,2
00233,0
00234,1
00235,2
00236,1
00237,1
00239,1
00240,1
00241,1
00242,1
00243,0
00245,1
00246,2
00247,0
00248,2
00249,1
00250,0
00252,2
00253,0
00255,0
00256,0
00257,0
00258,0
00259,0
00260,2
00262,0
00264,0
00265,2
00266,1
00267,2
00268,2
00269,2
00271,1
00272,0
00274,0
00275,1
00276,2
00277,1
00279,0
00281,0
00282,1
00283,0
00284,2
00285,2
00286,2
00287,1
00288,1
00290,0
00291,0
00292,1
00293,0
00294,1
00295,1
00296,0
00298,0
00299,1
00300,0
00301,1
00303,0
00304,2
00305,2
00306,1
00307,0
00308,1
00309,2
00310,0
00311,2
00312,1
00313,2
00314,0
00315,2
00316,0
00317,2
00318,1
00319,1
00320,1
00321,0
00322,0
00323,2
00324,1
00325,2
00326,1
00327,0
00328,1
00330,0
00333,0
00334,1
00335,1
00337,2
00338,0
00340,2
00342,2
00346,2
00347,2
00348,1
00352,0
00353,2
00354,1
00355,2
00356,2
00357,2
00358,2
00359,0
00360,1
00361,1
00364,2
00365,2
00366,0
00367,0
00369,1
00370,2
00371,0
00373,2
00374,1
00376,2
00377,2
00378,1
00380,2
00381,2
00382,2
00383,1
00384,1
00386,1
00387,2
00388,0
00389,1
00390,2
00392,0
00393,1
00394,0
00395,2
00396,0
00397,1
00398,1
00399,0
00400,2
00401,1
00402,0
00404,0
00406,2
00407,2
00408,2
00409,0
00411,2
00412,1
00413,2
00415,2
00416,2
00417,0
00418,1
00419,2
00420,2
00421,0
00422,1
00423,0
00424,0
00425,0
00426,0
00427,2
00428,0
00429,1
